Text,Image_Base64
,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAASElEQVR4nO3OoQHAIBAAsdL9d3485iSIZIKsmfle8t8OnISKUBEqQkWoCBWhIlSEilARKkJFqAgVoSJUhIpQESpCRagIFaGyAXGwA118GEzeAAAAAElFTkSuQmCC
ꠢꠇꠟ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABzElEQVR4nO3WvWrCUBTA8ZugBEQdlIAXRFAwi4ODIA5Ojj6Ci4MigkKEgG4OLgHnvIObjm5ODrr4ANkkoAYdHCR+ezqk2loLp9BAO9z/dDk3gR/5IhwAkP8U/9eArzEQFgNhMRCWixCyWq2KxeLxeHzdFgThcrlcr9cv8/P5rOu6JElut9uecBynaVoikfitCO6lUqnHer1el0qlx+TzwrKsVqsVj8cfB/f7fVEUwaG+uWXD4VBV1W63+7plmqaiKPV63e/325Ner+f1eiORyG8vzL0nkGVZ7XZ7t9vVarVAIPB563A4dDodn8+naVo4HCaEjEajTCZDKRUEwSnNE8jlcsmyXK1Ws9nsdDp9OojnK5VKoVDweDw8/35KLpebTCaGYYii6CDo4xnabDb2olwub7dbAIhGo4vFAgCWy+XtdgOAWCxmmiYASJI0n88BIJ/PA0A6nR6Pxw4/Q8Fg0F7ouq6qKgA0Gg37/QqFQhzHEUJkWbYniqKcTidCiGEYg8Gg2Ww6deM4ePn90HV9v98nk8mfnD+bzSillFJHNN+D/rZ/96VmICwGwmIgLAbCYiAsBsJiICwGwmIgLAbCYiAsBsJiICwGwmIgrDfGEWr2XOkcZAAAAABJRU5ErkJggg==
ꠝꠣꠘꠥꠡ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACO0lEQVR4nO3WMWvqQADA8WviILqJtIKKQ2PpootdinTUrSAICtmUtlM6iOLgJDhIsoggCOInkM61Lm6CGpAOAUWEIK0NFKFC0liIcm9IX59Ph3vVltfh/lNyd4Qfl4NkD0IIflLE/wash0GoMAgVBqEyAAAeHx9jsZimaasTFEU9PDwoijIYDA4PD00m08fU/v6+JEkWi8Xtdq89jiCIZDJ5cHCwvQhCCCGUJImiqLu7u2azyXFcMpnUx30+n37x8vKSSCSi0Wgul4MQapomy/L9/X0kEikWi7IsV6tVl8v1+voKd+v9ldlstkajwTDMdDo9OztbQ2uadnl5KYrixcXF+8YaDEajMRQKXV9f12q129tbp9NptVpXN3K7/pyhp6cnmqZZlt1cVKlUWJaVJGl1cLFYpNNpr9dLEITdbg8GgztS1kHZbDYej5vN5s1F9XodAHB+fr46aDQar66uGIbJ5/N+v/9LNH+BwuGwfkRIkhRFUVEUAABJkv1+3+FwlMvlTCZDkuRoNOJ5PpVKAQDG47GqqoVCQX+CLMs8z+8q2jxWqqrm8/m3tzcI4c3NTbvd/piazWYcxz0/P5+cnOgj8/nc4/Ho16VSSRCEHQ/1Hvz870e3210ul6enp/rtcDg8OjradWN+9wlQq9USBGEymdA0fXx8/FWCtQz/uK7X63U6nUAg4PF4vomit80r+9Z+3LcMg1BhECoMQoVBqDAIFQahwiBUGIQKg1BhECoMQoVBqDAIFQah+gVmS4nSaBqOHwAAAABJRU5ErkJggg==
ꠡꠣꠗꠤꠘꠜꠣꠛꠦ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAADKUlEQVR4nO2WTSg8YRjAZ96hXR8lllITq9RSWnvwcSC5cZDabUVOPvJRGsqmvXBBsrj4upDkvKEccBFxQorVcNjSRltTu2rVsJud3Xn+h1fTGltT++//J72/0zvPPM8zv3nfdz5oAKB+Eui7BdQQIS1+l1AoFGpubuY4LuUOPM+rQ/AXTExM+Hw+g8Egy3JqHVpaWsbHxxMjqc/Q1dVVW1tbSUkJy7LxeDy1Jnt7e9FodHNzU4nQACCKosvlen9/V2VHIpH7+3sAkCQJIcQwTOLZeDwuyzJN0x6Px2Kx0DStStDpdGazWdUzHA7zPI8Qomm6oaEBIURR1NPTU3FxMUKI4zgKX08UxZubm/b29qWlJVEUNzY2jEbj29sbAFRVVQHAysqKw+FQJvb6+lqn0+ExTsCEQqHR0dGOjo7p6WkxgampKZvNxjDM6+srLonFYoIgCILg9Xr9fr/FYnl+fv5YsrS0NL1eb7Vah4eH3W73wcFBUVFRfn5+Zmamcmetra07OzvBYPDk5CQcDq+trZWVlanuXpKk/v5+n8/X19dHUVR2dvbFxUVPTw/Lsh6PZ3d3t6KiIisrCyczDFNYWHh0dDQ5OdnY2ChJksFgoJSnLBaLOZ3OyspKhBDLsk1NTaqLGY3GkZGR7u7uoaGh5eXlmZmZ9PR0Vc76+vrc3JwgCErE7/e7XK7c3NxAIBAMBjMyMlQlTqdzYWHBZrNFo1Ec+RDS6/UDAwMcx83OztbX11PJcDgc+/v7DMNYrda8vLyvCYeHh3gulUhnZyfeD9XV1QUFBV9Lent76+rqSktLc3JyPkLK8j88PNjtdrvdjg9NJtPl5SUA1NbW4q2NUcY1NTWPj4844e7uDgAGBwfHxsZkWT4+Pu7q6sLbJRElU9UTAMrLywOBAAB8eg9FIhGz2YzHq6urPM8DwPb29vn5+ddXiNvtPj09TZrw8vIyPz8vSZKqZGtr6+zsLGnJ4uLi7e0tANDw+ffD6/WaTKakS/Z/UAt9O7/r4/ovIEJaECEtiJAWREgLIqQFEdKCCGlBhLQgQloQIS2IkBZESAsipAUR0uLHCf0BECGTy05a1dIAAAAASUVORK5CYII=
ꠢꠝꠣꠘ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABzklEQVR4nO3WP6uyUBzAcX2KlramVqG9IaiG6h20tAQtQhkFBREFbRE0mG4tDb2GdmsR2qoX0NDSEGmQkJDYH8PzDHHv480LPx4M7h1+n+l4zhG++A9pQgj1m/z56YBXGATBIAgGQfwURR0OB5Zlb7ebezkQCFiW5fxW3e/3/X7PMMzj8aBp2ufzOfcnk8nBYOCpiHyIxWKf4+PxWCqVnjOqqkYikel0KsuyKIqtVutl8+l0ajab+Xy+3+8Tz765ZZIk8TwviuLzMBwOz2azer2uaVo6nX7ZbFlWuVzebrccx3m6MB++BJmm2e12DcOo1WqhUOhzXlGUQqEgCIL7/PF4LAiCqqpvqfkS5Pf7G41GtVpNpVLL5dK5qdfrFYvFYDDoPl+SJIqistnsu4L+PUOapj0HHMfpuk4IYRhGURRCyGg0SiQS8/l8tVrlcrnz+RyPx9frNSGkUqm0223btmVZZlnWMAyPzxDlnspkMp1Ox7bt4XC42+2cS6Zp8jx/vV4nk8lisXAu6bouiuLzlfSCJq7fj81mc7lcotHo2+7C//gm6Gf9ui81BkEwCIJBEAyCYBAEgyAYBMEgCAZBMAiCQRAMgmAQBIMgGAT5C2df1EUt4uRCAAAAAElFTkSuQmCC
ꠁꠎ꠆ꠎꠔ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABwElEQVR4nO3Wv6tBYRjA8fdgYPY/nFJiMPgVZVH+CDZlZTMp1jMcAwaxGFEWNuUYFGdicDKQRfRSnEHIj+cOp1xXt/su53bv8Hym8z7nlG/Pu+AAgPwnhr8OeIdBLBjEgkEsJkIIpTQWi53P5+f08XiYzWaD4T1XVdX5fM7zvMlk0iYcxxWLRZvNplsRvHA6nZfLRVEU7bhYLDqdzvOtoigul+v1+7ejLr7s4HQ6VavVUCikHVOpVDgcvt/v2Ww2Ho+3221tTint9XqHw2G32+m2mG83lEwmj8ejz+fTjn6/v1wur1Yrr9f7upJEImGxWKLRqMPh0H1Dn0GtVksQhEwms1wutYkkSVarNRgMDgaD8XgsiuLzjtxuN/zqlW2329Fo1Gw2a7VavV6/Xq+EkM1mk8vlJEmSJKlUKkUikf1+TymVZdlutxNCjEbjZDL5xSsDgNlsFggEKpUKAPT7fZ7np9NpOp3udrsAUCgUZFkWRVFVVQBoNBrD4VDfDb0HAcB6vb7dbtpzPp/3eDyCIOj7qz/gAP8P/QyDWDCIBYNYMIgFg1gwiAWDWDCIBYNYMIgFg1gwiAWDWDCIBYNYPgBUUd1EplyOBgAAAABJRU5ErkJggg==
ꠀꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABGUlEQVR4nO3WoW6EQBCAYegWhUHhyAokEoHfZ+ABeAsMwSAJDiwKyTPgLoEgUbwAQSJQhDAV1xB617sx5XpifscsCV9mDTIASO/Ux38DbiMQFoGwCIT1KUnSMAye5y3Lcn88TZOiKKqq7hNZltM0tSzrLBE8KMsyTdOOk6IodF1/9P5f9fuVJUnCOTdNc0fHccw5NwzjrMU82VAURVVVAYBt2wAQhqEQouu6fXJqP0DbtgVBUNf19fH+8y8AfV/ZPM/jOPq+77qu4zjXIWNsXdfjOhljl8vlFVeW57kQou/7I7Ysy6ZpbiZt2566IRno9+N5BMIiEBaBsAiERSAsAmERCItAWATCIhAWgbAIhEUgLAJhEQjr7UBfx21E1sJEHhoAAAAASUVORK5CYII=
ꠢꠇ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABaklEQVR4nO3Wv6qCUBzA8aMIRaBDIbQW6CYNrT1Ji0MSQcEJHHyEI86+gQ/hM/QKbi2V2NBkf6h+d5C63uuFH1ySGn6f6egR/aJHUQIA9knkdwf8RkEYCsJQEEZhjO12O9u2z+dzdbrRaFyv19vtVp1qNptRFOm6/uIieBgOh89xlmWTyeS5pzzI89zzPMMwoB5/PLI4joUQQRBUp9I0dV13sVhomvbiG/OglDfyPPd937Ks+XzebrfLU6fTKQgCVVXDMJTlGlfe96kVReGcz2az0Wi0Wq1+HCTL0+l0PB63Wq1aaxgrraH9fl8MHMc5HA4A0Ov1NpsNAGy32/v9DgD9fj9NUwAwTXO9Xte7hjqdTjFIkkQIAQDL5bJ4v7rdriRJjDHOebHHdd3L5VLHDZKg8vuRJMnxeBwMBnVc7z9B7/VxX2oKwlAQhoIwFIShIAwFYSgIQ0EYCsJQEIaCMBSEoSAMBWEoCPMF1k5Wf3tw5KEAAAAASUVORK5CYII=
ꠟꠁꠀ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABpElEQVR4nO3Wv4rCMBzA8cYUXDq4ZAiCgoKLSMHJxcGCUx9B7Cv4BG5Ogk462lEdSsEX0EnwD7hKZxd1FrSo5Ia7y1Wvxw/uCufw+2z9hcA3IYhECKG8kth/BzzDIAgGQTAIoiqKcjweLcu6XC5yer1eCSGqqsrJ/X4nhMRiIQcghPR6vXw+H02ReOS6LmNMfuq67vv+drsVYfr9fiKRCF36tYcTj0YjTdNSqZScnM9n27Yrlcr3k3Q6nXQ6nc1mo7mYTx9B0+m0VCpxzuPxeHDZNE3LsjKZzNO2VqtVLBZN04y25ivIMIzFYrHb7Rhjcm0ymSSTyXa7PRwO5VAI0Ww2q9Vq6LX9nRr8GI/H9XqdUjqfz3O53Gq1ms1mh8NB07RGo+H7/ul06na7tVpN1/X3LZTS2+0WfP5/FXxQhULBdV3HcdbrtRx6nlculweDgW3bhmF4nhfc4jjOcrmM8FETEfj7sdlsOOec86fo/X7PGKOURnYNP3sIegUv90uNQRAMgmAQBIMgGATBIAgGQTAIgkEQDIJgEASDIBgEwSAIBkHeACk4ZAuITiKyAAAAAElFTkSuQmCC
ꠙꠄꠖꠣ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABoklEQVR4nO3Vr4vCYBjA8b1XLCYxGjQaTIOF2f0PbIphdjFarIKwMKaC0S5WkUWLRTCJURF/wIIKY+rw5TWMmzsn99yd01N4vml7nw0++M6NMMa4V+rjvwHXIQjqDUGmadZqtV6vRyl9CdB0OiWENJvNZDK53W4fDSI//9urqjqZTOr1+sNB6/U6l8sdj0fvOBAInE4ne7MMwxiNRtFoNBKJ2FPLsizLCgaDhJBGoxGPx30Qsc94nneOdV2XJMlZcQ5SqZT7Mu+N93fjGep2u5VKpVqtuhcppa1WK5vN2qer1apYLPrwe3j6AjJNs1wuG4Yhy3IoFHKPRFGklGYyGY7jDoeDLMv9fv8RoMuWCYKQz+cXi4V3L9ybwvN8oVDYbDY3p/d3Aem6fjWLxWLL5dK2DodDe7FUKs1mM7dDEITxeOw/yJuiKPP5nDHW6XQ0TbuaOqB2uz0YDJ4B+r5EIsEY2+12flHs/v4tC4fD6XR6v9/7+EBzv3pTP6c3/No/OQRBIQgKQVAIgkIQFIKgEASFICgEQSEICkFQCIJCEBSCoM5dQvqn9R21BwAAAABJRU5ErkJggg==
