Text,Image_Base64
ꠔꠣꠎ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABQElEQVR4nO3WIY6DQBSA4RnA4kuqEQyKEK5RWzQXwPUMaETPUEIQHKCmClLbpA2iNUAVCSgEYlY0Ydlhs8+UbMX71IQwyZ83GQLlnJNPIv13gAiDIBgEwSCIQgg5n8+73W76QRqGgVKqKAqldL1el2UpbKOU7vd7wzDeX8RnbNsWFvf7/XQ6jS9YljXf9S7KWNa27e12Y4w1TSNE+76fpinnPAiCx+NR1/X7BzOfkOd5qqq6rmuapjAhTdOOx2Pf96/ZjM+X8OPIHMfhvx3Z4XBYrVa6rr/mtGjQ9y3L85wxRgiRJOl6vU4X2+32+XwWRbHZbAghsiwnSbLskVVVFYZh13Wc8yiKsiybLgRxHF8ul4UmRDn+fvwNgyAYBMEgCAZBMAiCQRAMgmAQBIMgGATBIAgGQTAIgkEQDIJ8XNAXF5ZG07RhjUIAAAAASUVORK5CYII=
ꠝꠟ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABRElEQVR4nO3WMYqDQBSAYR0WRLAKWIyFlRbBM4jgCSxt5hCS2i6kCNjlDmKTFCnsBixFvIQiCIldQuxmi+xm3d3iVTEp3t/5bD6cx6AshJDeKfJqwN8QBIUgKARBfUiSdD6fGWO32236wrbttm3HcXxMZFne7XaO4zxXJIQQQgzDsFwuj8cj53y73a5WKzFpv9/rui5m6evIFotFnudRFJ1OJ9d1p+I0TTVNM03zuR/mu58d6vueMZYkyWPCOfc8j1KqKMo8ml+gzWbDGFNV9THxfb8oiqZpKKUvAAVBEIZhHMeEkK7rLpfLfZ5lmW3bhJCyLOcQ/V+r6/W6Xq/Hcbw/WpZ1OByyLKuqaoallgX0+1HXtWEYs50aDJq5t7upEQSFICgEQSEICkFQCIJCEBSCoBAEhSAoBEEhCApBUAiCQhDUJ2ZmUVvWNFJ4AAAAAElFTkSuQmCC
ꠖꠥꠘꠤꠀꠁꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACzElEQVR4nO2WT0sqURiHzxk1BFEs3RSCfwJBzISSoBaJCzdGG91I0RcwhdCVgbtKCN2YbRSkRYssCPoGrSKhKFzoIG4SFELJhWiJjucuuoyD5RzlUrfgPLv5zfsenjnzDnMgQgj8JKj/LTAIEcLxm4Wq1arD4fD5fF9nAwAAaGR2d3dLpZJSqez1eqN3jcuoQplM5vHxESFkMpk6nc7XCUGEEE3THo+n1+ux29btdimKenl5USgUEEIAAMMwDMMUi8VWqzU/Pw8hFIlEH/e70+lACIVCIZs0Gg2RSCQWi9kEQhiPx41GI+aVLS4uDrM+PDz0+/3vBcPKjo+P5XI5e2k2m9/e3vL5PLfm8vJyamqKf4cGh7pcLm9vb3OTo6Oj/f39cDjMM4jRaFStVs/OzrLJ6+vrycnJ6uoqm1xcXCCEtFotzzpg4Ctrt9uxWCyTybBJNptVKBQWi6XZbA5bYm9vb2FhYW1tjRs6HI6tra25uTkAwOnpqdfrFYvFTqeT32ZQKBgMBoNBbnJ2dqbRaIxG4+Tk5MdmhFAoFLLb7TabjZtfXV2pVKqDg4NkMgkAWFlZCQQC6+vrWBsAQH/6bDabz+eTy+Xc23q9PhwOp1IpAEC9Xn9+fqYoiqZplUrVbDaj0ejm5qbZbP77cBTFMEy9Xr+7u7u+vq5UKjKZbGdnR6fT9TeAovL5vMFgGGr0cayGjW0kEnl6ekqn07e3t6lUymq10jTNLTg/P7+/v2cvC4XC8vJyIpHg1qTT6ZubG56h/kTIZDIhhHK5nMvl4ukchUql0u12x2r55NchkUg2NjYmJiba7fYob52H6elpgUAwVgtEnAMaTdNSqfR9Sh4eHtxu98zMzD86jUtfqFarxeNxmUym0+mWlpa+X2VQ6Ifwm89D3wMRwkGEcBAhHEQIBxHCQYRwECEcRAgHEcJBhHAQIRxECAcRwvEH5mNK8dLYpQwAAAAASUVORK5CYII=
ꠢꠣꠔ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABZ0lEQVR4nO3WsaqCUBjA8e9IENTWYi/QUJMQ+Qi+hsEZAtcc2wVHg56gF2jqFcQXOJPS0FBEcDqEIAXnDpK3W3G/Janh+02eo+AfPxGZ1hq+ifHpgEcUhKEgDAVhGgCw2+1c1y2K4vl0s9m8Xq9SyizLer1eq9Uq9xlji8Wi3++/v0jfDIfD6vhwOHDOq537U8/L93oxsvV6HQRBGIYP+1LKOI6VUsfj8f0P5uZPUJ7ns9nsfD57ntfpdB4unU6njuNMJpN2u11f0O/IbNvmnG+3281ms1wu70dTHYxGo7pH1qjKVquVaZqMsfF4PJ/PAeB0Ou33e9M0DcMQQiilBoMBAJTLWt7o+5F1u13GGACkaRoEgdba87zL5QIAvu9nWZYkSRRF5VIpVUcNADD99PshhCiKwrKsmm75vxdBn/V1X2oKwlAQhoIwFIShIAwFYSgIQ0EYCsJQEIaCMBSEoSAMBWEoCPMDxoNtOz66eMkAAAAASUVORK5CYII=
ꠀꠌꠣꠘ꠆ꠇꠣ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAB+ElEQVR4nO3Wv6/pYBjA8ZbbRCLBUpORJhIS0TRGDCIh8TdYWYgwGMRi9GMiJjuzxT8gBhIWLR2kS1NiEE0ktPGcwUnj1jnee+9yz/B+J336ePNJa0ACAPGTsvxvgDkMQoVBqDAI1S+CIGRZzmazt9vt9fb5fLZarXa73ZhomkYQBEVRJElmMpnJZPLm9Ov1yvO81+ulKKrX6/n9frQIvqnb7bpcLuPyfr+3Wi2aph+XLMs+L/f7/UKhYAxZllVVtVgsPiam5fd9DWo2m+Px2DhI1/V6vc7zfDAYfAVNJhO3261pmjH0eDylUulwOEQikb8FffEbajQa4XA4nU4bk3w+v9lsksnkdrs1LWuaJopiKBS6XC4EQZxOp2q16nQ6m80mTdPoF/TSbyAAqNVqiUQiHo8bw/F4LMtyKpVarVaBQMD0/fl8brFYGIZxOByCIJTL5VwuZ7PZSJL8B80nAgBUVVUUpVKpLJdL4+lxHKfr+vPz5DiO5/nHh/V6DQCiKMZisd1uBwCSJD3WGIY5Ho8A4PP5FEUxlv+kT9BgMIhGo4IgPN8bjUaLxcI0mU6nADAcDmez2XeHdjqd/X4PAO12W5Kk98umSMB/P96HQagwCBUGocIgVBiECoNQYRAqDEKFQagwCBUGocIgVBiECoNQYRCqHwf6ANMTNNqdEydhAAAAAElFTkSuQmCC
ꠎꠤꠘꠤꠡꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACdUlEQVR4nO2VTUsqYRSAZ64iIkiQLiTEMFCIcOFXC/duRBDFRfQbTMGN6KaVINIiyEVEEEELZUTwFwSBH4FEDWKLRkUpEV2qQYx6WszlZfBe7zsXhQreZ/XOOXOGZ86Zw9AAQH0nfn21wCJECMePEhoOhx6P5+jo6L9SqwLLSSQS3W5Xq9XO53PpqRVZKnR/f//4+AgAFouF53mJqdWhAYCiqHA4zLKsuHOz2Ww+n9M0/fT05HA4tra23t7eUGo2m3Ec9/7+brPZdnd31Wr1QuNfX1+73a5CoUARmqYzmcze3p7UkbVarbu7O3RptVqFg91uF79BOp2ORqNC0G638zw/Go0eHh6CweD5+floNLq8vNze3p5MJqikUChsbm5K7JAcmUUikWKxCACpVKrdbvd6vT/tz87OksnkYDBwuVxCRC6XK5VKv99/fX19fHy8sbFhMBi0Wq1KpRJuYBhGJpMZjUYJ3zNFibesVqvd3t5+fHwwDHNxcaHX6xduZVlWo9E4HI7JZCKO8zwfi8WsVitN0waDwe12C/Gbm5tQKKRUKgOBgEQbihKNLJvN6nQ6k8kk9AlNCh3i8XipVAqHwyiIUtPp9PDwsFKpiEuazWar1frr3P/B0i3b39/P5/MA4HQ6n5+fAeDq6srr9Q4GAwDY2dnp9/soxXGcz+c7ODgQas1ms7CGCKfT2Wg0VhJiGKZerwNALperVqsL2ZOTk06nI06Nx2O0B6enp0ItIpfLlctlKUK/134tvLy8mEymFR+yTqG18KN+rl8CEcJBhHAQIRxECAcRwkGEcBAhHEQIBxHCQYRwECEcRAgHEcJBhHB8O6FPgO1kgsBrsgwAAAAASUVORK5CYII=
ꠄꠉꠥ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABf0lEQVR4nO3WIcvCQBjA8dsQ/QKWNatNFDEsuijCwGRRRPwUdnFhZUWGZWmwtmJY8BPMcnnFoCyIiKAgTu4Ng73O19cneVt4/umOlR/PbuMExhjJU2LWgNcQBJVX0PV6NQxjtVpFUZQL0Ha7LRaLlmXJsnw8HrMUsXSLxWIymbDsEhhjYRgOBoPb7Rb7NptNpVIpl8sJ+n6/B0HQ7XZN0xQEgdOEGo1GvGi324yx/X7fbDYppc+POJT6yh6Ph23b/X6fECJJ0ng8ns/n353Hn1KgVqt1uVxGoxEhZL1eV6vVMAw5gwrPG9/3k/VsNlsul7Iscwb9TkgURUppsu10OpqmTadTQsjpdBoOh4fDgYcoOU2O43ie9/ag6bquqmp8wL/d63/obbvdznXdb1PiCh+GFwQBpdT3/Xq93uv1eLwvQgT2zwXtfD4bhlGr1RRFKZVKfDSfQFmV1+tHfkIQFIKgEASFICgEQSEICkFQCIJCEBSCoBAEhSAoBEHlDvQDYPKSoFurHtkAAAAASUVORK5CYII=
꠨,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAAgElEQVR4nO3VsQ0DIRQE0X9uhyJIKQUyOqMDyqENHFknXeAJuWBeBaNN9tp7x5t8Tgc8GUQMIgaRO2it1XsfYxysiYjYP6WUOWdKaR91L5Rzbq3VWg+uExHX9jr+M4gYRAwiBhGDiEHEIGIQMYgYRAwiBhGDiEHEIGIQMYi8LugLBSOZopskNSEAAAAASUVORK5CYII=
ꠁꠈꠣꠘ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABxUlEQVR4nO3Wr8vCQBjA8Zu+mBYcgoiIYaBFYUGLRbGKf4L6R5itOhCbRbQsCGoYOLBqVjBZJgqCYYgimMTjQO4Nexn+ggf0hfcNzzdtdxx8bjvGBM45+U+5/hrwGIKgEASFIKgvQsjhcCiVSpTS2wmPx8MYe17AGGOMiaIoCEIwGLQs63ZWFMVut+v1et8X8ZsURaGUmqZp3yYSCc65pmmSJHHOJ5NJIBBYr9fOlFO9Xi+Xyw+D73X3yi6Xi6Zp6XTaGWm1WuFwWJZlwzAsy8pkMs9bajab1WpVVdX3n8pNd6BcLlcsFuPxuH272WwURclms9frlVJaKBSe1y8WC5/Pl0wmz+fzr4C+nCvDMEKhUK1W63Q69shsNotEIoQQXddlWX65vt/v5/P5WCwmSdKvgH6e0PF4nM/nw+Gw1+vpum4fZ1tDCHE0LpdruVzaF6ZpEkKi0aiqqpVKhRByOp32+/2noocztVqtUqlUu91+eeLG4/FoNOKcDwaD6XT6MNtoNLbb7YeHWuBPvx+73c7v97vd7k/3+lYvQH/bv/tSIwgKQVAIgkIQFIKgEASFICgEQSEICkFQCIJCEBSCoBAEhSCob4Mnc+ByK91/AAAAAElFTkSuQmCC
ꠄꠘ꠆ꠒꠤꠀꠔ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACZklEQVR4nO2WPUhyURjH77lggw25tIkOTgouN0IlxCBw0FFxaCkcskUEHVwyCCQXA1EUWxQnPxY3hxbHe28oiIsOEWiIihgptyC719NweeXNj069Ea/D+U3nPPx5+J3ncOAACCGxTpD/W2AeLIRiXYVeXl5isVipVOJ5/pP0YDCwWCxut/vXhVqt1sbGRiaT2dvbe3x8XJWORCLX19e5XO4X3yb8SDKZPDk5gctgWbZWq0EItVrt29vb0szPARDCXq93dHT0+voq+lUqFYVCoVQq59QFQeB5vtPpdLtdrVYLAJBIJIsn5DiOJEmpVDqrAAASiYRarf7ehHZ2dsTFwcGBuCgWi8fHxxcXFzabLRQKLSbniMfjMplsrrgqvIoPr0wQhGw2e3h4SBBEOp2+vb3d2to6Pz8/PT0VAw8PD6sOdnV1pVQqVSqVuH16emIYZjweD4fDLw3mDx+EdDrd8/Oz0+kkCCKVSjmdToqiyuUyAODu7s7j8VAUtbRLMBikKMpqtc4qPp/PbDa7XK7Nzc1vCS25MhG9Xh8Oh2maDgQC9/f3DodjNBoZjca55HQ6PTs7Yxhmscnu7u6ProwkyXq9PtvSNO3z+ba3t8vlslwuz+fz7XZ7f39fTDabTY7j+v2+3++32+06nW7WRBAEgiBYltVoNGKl0Wj8y4QKhcLNzc2i8uXlpVqtNhgMXq93MplACPP5PMMwqVTKZDI1m82/w4VCoVqtdjqdaDQ6Go1m4a9PCED8/fgcLIQCC6HAQiiwEAoshAILocBCKLAQCiyEAguhwEIosBAKLIQCC6HAQijWTugdkXGPwYQNpacAAAAASUVORK5CYII=
